Species,Migratory_group,Species_code,Intercept,Time_slope,CO2_slope
baltimore oriole,long,BAOR,156.95 [145.10 - 169.33],-0.12 [-0.26 - 0.02],-0.17 [-0.67 - 0.31]
barn swallow,long,BARS,160.62 [149.35 - 172.09],-0.13 [-0.31 - 0.05],-0.01 [-0.52 - 0.52]
black-billed cuckoo,long,BBCU,166.22 [151.59 - 179.57],-0.02 [-0.25 - 0.23],-0.38 [-1.16 - 0.27]
blue-gray gnatcatcher,long,BGGN,148.09 [129.04 - 169.96],0.03 [-0.18 - 0.23],-0.38 [-0.97 - 0.17]
black tern,long,BLTE,164.43 [153.86 - 175.42],-0.17 [-0.33 - -0.03],0.15 [-0.30 - 0.62]
bobolink,long,BOBO,151.46 [145.63 - 157.38],-0.09 [-0.18 - 0.01],-0.02 [-0.38 - 0.37]
common gallinule,long,COGA,155.34 [146.47 - 164.52],-0.11 [-0.28 - 0.07],0.04 [-0.51 - 0.60]
common yellowthroat,long,COYE,151.87 [134.32 - 168.25],0.07 [-0.13 - 0.29],-0.46 [-1.18 - 0.14]
eastern kingbird,long,EAKI,166.61 [156.21 - 177.09],-0.12 [-0.28 - 0.03],0.09 [-0.39 - 0.59]
eastern wood-pewee,long,EAWP,180.06 [170.12 - 190.63],-0.16 [-0.35 - 0.02],-0.05 [-0.65 - 0.61]
gray catbird,long,GRCA,157.05 [150.11 - 163.87],-0.13 [-0.21 - -0.04],0.10 [-0.14 - 0.33]
green heron,long,GRHE,144.71 [129.25 - 159.97],-0.06 [-0.26 - 0.14],-0.07 [-0.72 - 0.54]
grasshopper sparrow,long,GRSP,182.79 [158.85 - 207.77],-0.30 [-0.58 - -0.05],0.25 [-0.42 - 1.10]
house wren,long,HOWR,163.80 [151.44 - 175.45],-0.10 [-0.28 - 0.07],-0.04 [-0.57 - 0.51]
indigo bunting,long,INBU,165.10 [151.71 - 177.80],-0.03 [-0.17 - 0.12],-0.27 [-0.79 - 0.25]
least bittern,long,LEBI,159.80 [150.71 - 169.25],-0.07 [-0.23 - 0.08],-0.13 [-0.62 - 0.34]
marsh wren,long,MAWR,156.06 [146.85 - 164.87],-0.07 [-0.21 - 0.07],-0.09 [-0.52 - 0.35]
orchard oriole,long,OROR,151.54 [135.73 - 167.99],-0.09 [-0.26 - 0.09],0.05 [-0.50 - 0.62]
rose-breasted grosbeak,long,RBGR,151.26 [140.63 - 162.19],-0.00 [-0.18 - 0.18],-0.15 [-0.75 - 0.45]
red-eyed vireo,long,REVI,170.43 [156.94 - 185.13],-0.14 [-0.39 - 0.08],0.07 [-0.60 - 0.92]
scarlet tanager,long,SCTA,168.41 [153.11 - 184.12],-0.13 [-0.36 - 0.09],-0.00 [-0.69 - 0.77]
sora,long,SORA,138.96 [128.84 - 149.02],-0.04 [-0.21 - 0.12],-0.04 [-0.57 - 0.46]
spotted sandpiper,long,SPSA,153.42 [140.69 - 165.44],-0.04 [-0.24 - 0.15],-0.15 [-0.77 - 0.42]
upland sandpiper,long,UPSA,143.60 [130.71 - 157.24],-0.10 [-0.29 - 0.08],0.10 [-0.42 - 0.64]
virginia rail,long,VIRA,144.61 [130.70 - 157.83],-0.08 [-0.26 - 0.12],0.06 [-0.53 - 0.66]
willow flycatcher,long,WIFL,171.80 [156.36 - 186.83],-0.05 [-0.26 - 0.16],-0.29 [-0.85 - 0.22]
wood thrush,long,WOTH,151.05 [142.01 - 160.04],0.04 [-0.07 - 0.15],-0.20 [-0.66 - 0.30]
yellow-billed cuckoo,long,YBCU,184.35 [172.86 - 197.10],-0.27 [-0.49 - -0.06],0.31 [-0.30 - 1.08]
yellow warbler,long,YEWA,160.72 [151.99 - 169.04],-0.16 [-0.28 - -0.03],-0.14 [-0.53 - 0.24]
yellow-headed blackbird,long,YHBL,165.53 [156.05 - 175.06],-0.21 [-0.35 - -0.07],0.27 [-0.16 - 0.76]
